City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
171,Tigil,RU,2021-12-10 02:08:55,57.8,158.6667,19.85,91,100,7.23
172,Grand-Santi,GF,2021-12-10 02:08:55,4.25,-54.3833,73.83,99,100,1.88
173,Nome,US,2021-12-10 02:08:56,64.5011,-165.4064,8.67,66,1,17.27
174,Katsuura,JP,2021-12-10 02:05:47,35.1333,140.3,55.11,70,100,13.06
175,Buraydah,SA,2021-12-10 02:08:56,26.326,43.975,50.76,39,4,9.13
176,Diffa,NE,2021-12-10 02:08:57,13.3154,12.6113,66.11,19,0,10.54
177,Luderitz,NA,2021-12-10 02:08:39,-26.6481,15.1594,59.97,83,0,8.28
178,Torbay,CA,2021-12-10 02:08:57,47.6666,-52.7314,30.58,96,90,41.43
179,Sobolevo,RU,2021-12-10 02:08:25,54.4299,31.8996,23.63,93,100,12.12
180,San Andres,CO,2021-12-10 02:04:10,12.5847,-81.7006,80.62,78,20,18.41
181,Pevek,RU,2021-12-10 02:08:53,69.7008,170.3133,-24.75,98,99,7.23
182,Olinda,BR,2021-12-10 02:08:58,-8.0089,-34.8553,82.13,74,40,10.36
183,Hasaki,JP,2021-12-10 02:08:59,35.7333,140.8333,52.29,66,100,14.43
184,Provideniya,RU,2021-12-10 02:08:59,64.3833,-173.3,3.31,85,75,11.18
185,Karpathos,GR,2021-12-10 02:08:59,35.507,27.2132,64.36,77,37,17.27
186,Linxia,CN,2021-12-10 02:09:00,35.6003,103.2064,32.86,54,99,2.64
187,Atar,MR,2021-12-10 02:08:22,20.5169,-13.0499,63.43,14,98,10.2
188,Kahului,US,2021-12-10 02:06:36,20.8947,-156.47,80.62,74,40,24.16
189,Nisia Floresta,BR,2021-12-10 02:09:00,-6.0911,-35.2086,81.41,83,94,8.66
190,Nalut,LY,2021-12-10 02:09:01,30.3333,10.85,43.83,58,0,7.05
191,Marsa Matruh,EG,2021-12-10 02:08:24,31.3525,27.2453,58.53,66,100,10.11
192,Thalgau,AT,2021-12-10 02:09:02,47.8333,13.25,30.79,93,98,8.05
193,Vao,NC,2021-12-10 02:08:32,-22.6667,167.4833,79.27,81,5,12.82
194,Meulaboh,ID,2021-12-10 02:09:02,4.1363,96.1285,79.95,84,99,3.87
195,Thompson,CA,2021-12-10 02:09:02,55.7435,-97.8558,6.84,93,100,7.4
196,Khani,GE,2021-12-10 02:09:03,41.9563,42.9566,40.57,90,99,1.92
197,Kristiinankaupunki,FI,2021-12-10 02:09:04,62.2743,21.376,22.75,70,100,15.08
198,Rypefjord,NO,2021-12-10 02:09:04,70.6333,23.6667,21.67,68,0,9.22
199,Adaufe,PT,2021-12-10 02:09:04,41.5873,-8.3982,56.46,94,100,7.49
200,Killybegs,IE,2021-12-10 02:09:05,54.6333,-8.45,37.45,68,100,27.31
201,Mokhsogollokh,RU,2021-12-10 02:09:05,61.4681,128.9203,-17.39,100,84,2.84
202,Tesistan,MX,2021-12-10 02:09:06,20.7833,-103.4833,65.23,43,20,2.01
203,Grindavik,IS,2021-12-10 02:09:06,63.8424,-22.4338,36.07,93,90,6.91
204,Narsaq,GL,2021-12-10 02:05:24,60.9167,-46.05,26.82,82,75,5.97
205,Flin Flon,CA,2021-12-10 02:09:07,54.7682,-101.865,9.03,89,83,9.28
206,Benguela,AO,2021-12-10 02:09:07,-12.5763,13.4055,77.31,81,39,0.87
207,Beringovskiy,RU,2021-12-10 02:08:50,63.05,179.3167,-6.29,91,100,15.75
208,Usinsk,RU,2021-12-10 02:09:08,65.9939,57.5281,4.06,96,100,6.91
209,Okhotsk,RU,2021-12-10 02:03:16,59.3833,143.3,4.87,82,100,9.91
210,Suluq,LY,2021-12-10 02:09:08,31.6682,20.2521,54.1,46,0,9.8
211,Bubaque,GW,2021-12-10 02:09:09,11.2833,-15.8333,81.66,68,65,14.9
212,Bolshaya Rechka,RU,2021-12-10 02:09:09,51.9503,104.7355,1.67,92,89,0.58
213,Erenhot,CN,2021-12-10 02:09:10,43.6475,111.9767,19.83,73,43,4.85
214,Mankera,PK,2021-12-10 02:09:10,31.3866,71.4407,54.99,35,0,5.21
215,Ugoofaaru,MV,2021-12-10 02:09:10,5.6667,73.0,80.64,81,98,9.69
216,Wajid,SO,2021-12-10 02:09:11,3.8093,43.2471,72.0,53,19,17.9
217,Kem,RU,2021-12-10 02:09:11,64.9555,34.5793,5.4,96,56,6.13
218,Vezirkopru,TR,2021-12-10 02:09:12,41.1436,35.4547,37.89,77,1,3.76
