City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
213,Gladstone,AU,-23.85,151.25,91.78,61,86,11.5,overcast clouds
214,Iwaki,JP,37.05,140.8833,52.02,65,100,1.99,overcast clouds
215,Kaeo,NZ,-35.1,173.7833,73.78,55,41,7.54,scattered clouds
216,Geraldton,AU,-28.7667,114.6,77.41,61,75,12.66,broken clouds
217,Bandarbeyla,SO,9.4942,50.8122,75.06,70,6,15.88,clear sky
218,San Cristobal,VE,7.7669,-72.225,71.78,96,100,2.75,overcast clouds
219,Diffa,NE,13.3154,12.6113,66.11,19,0,10.54,clear sky
220,Airai,TL,-8.9266,125.4092,71.58,67,93,0.76,overcast clouds
221,Albacete,ES,38.8333,-2.0,45.41,81,0,17.27,clear sky
222,Praia Da Vitoria,PT,38.7333,-27.0667,62.76,69,18,6.13,few clouds
223,Chimbote,PE,-9.0853,-78.5783,67.19,84,100,5.73,overcast clouds
224,Nizhniy Tsasuchey,RU,50.5167,115.1333,15.84,88,100,3.51,overcast clouds
225,Mount Isa,AU,-20.7333,139.5,89.37,10,3,18.41,clear sky
226,Miguel Hidalgo,MX,19.4225,-99.2028,66.58,45,1,4.61,clear sky
227,Itacoatiara,BR,-3.1431,-58.4442,75.83,92,100,1.81,light rain
228,Katsuura,JP,35.1333,140.3,55.11,70,100,13.06,overcast clouds
229,Ust-Omchug,RU,61.15,149.6333,-22.94,76,94,2.89,overcast clouds
230,Cidreira,BR,-30.1811,-50.2056,66.76,67,4,9.57,clear sky
231,Lieksa,FI,63.3167,30.0167,5.49,95,96,5.23,overcast clouds
232,Souillac,MU,-20.5167,57.5167,74.35,94,40,5.75,scattered clouds
233,Dalbandin,PK,28.8947,64.4101,48.45,26,4,4.12,clear sky
234,Dauphin,CA,51.1494,-100.0502,18.73,81,10,14.43,clear sky
235,Bengkulu,ID,-3.8004,102.2655,73.78,94,100,9.89,overcast clouds
236,Tarbes,FR,43.25,0.1667,53.26,100,90,20.71,overcast clouds
237,Tinca,RO,46.7749,21.9316,41.11,97,100,7.43,light rain
238,San Policarpo,PH,12.1791,125.5072,80.74,85,100,16.87,moderate rain
239,Sitka,US,57.0531,-135.33,37.29,70,90,10.36,overcast clouds
240,Astana,KZ,51.1801,71.446,-0.45,78,0,6.71,clear sky
241,Flin Flon,CA,54.7682,-101.865,9.03,89,83,9.28,broken clouds
242,Sao Filipe,CV,14.8961,-24.4956,74.62,67,76,11.3,broken clouds
243,Tuatapere,NZ,-46.1333,167.6833,62.82,55,97,11.05,overcast clouds
244,Tukrah,LY,32.5341,20.5791,57.04,46,0,16.4,clear sky
245,Tondano,ID,1.3038,124.9112,78.89,66,58,2.64,broken clouds
246,Goundam,ML,16.4145,-3.6708,69.84,13,95,9.42,overcast clouds
247,Cockburn Town,TC,21.4612,-71.1419,79.23,73,1,16.8,clear sky
248,Payakumbuh,ID,-0.2202,100.6308,74.7,93,99,1.63,moderate rain
249,Karaton,ID,-6.3424,106.1045,83.95,72,87,1.21,overcast clouds
250,Pathein,MM,16.7833,94.7333,75.94,70,0,5.97,clear sky
251,Cachoeiras De Macacu,BR,-22.4625,-42.6531,65.14,97,42,1.74,scattered clouds
252,Ballina,AU,-28.8667,153.5667,87.98,53,72,5.88,broken clouds
253,Kirovskiy,RU,45.0917,133.5136,34.48,92,100,5.01,overcast clouds
254,Clyde River,CA,70.4692,-68.5914,-13.86,87,22,3.42,few clouds
255,Olupona,NG,7.6,4.1833,71.44,31,0,2.89,clear sky
256,Itarema,BR,-2.9248,-39.9167,80.85,78,39,14.65,scattered clouds
257,Severo-Kurilsk,RU,50.6789,156.125,36.27,80,6,8.43,clear sky
258,Yaan,NG,7.3833,8.5667,74.3,22,0,5.84,clear sky
259,Bogatyye Saby,RU,56.0102,50.4483,17.82,98,94,6.53,overcast clouds
260,Sao Benedito Do Rio Preto,BR,-3.3336,-43.5283,76.8,89,95,2.39,overcast clouds
261,Carutapera,BR,-1.195,-46.02,78.42,88,48,5.44,scattered clouds
262,Burns Lake,CA,54.2331,-125.7533,22.33,90,98,3.36,overcast clouds
263,Saint-Augustin,CA,51.226,-58.6502,17.02,53,100,20.83,overcast clouds
264,Boyolangu,ID,-8.1181,111.8935,84.58,68,49,4.27,scattered clouds
265,Zhifang,CN,30.35,114.3167,60.01,48,100,7.38,overcast clouds
266,Asau,RO,46.4333,26.4,33.4,85,100,3.06,overcast clouds
267,Alofi,NU,-19.0595,-169.9187,75.09,94,75,6.91,light intensity drizzle
268,Mporokoso,ZM,-9.3727,30.125,61.23,89,43,2.8,scattered clouds
269,Igarka,RU,67.4667,86.5833,-20.04,96,6,8.48,clear sky
270,Ponta Do Sol,PT,32.6667,-17.1,64.0,79,20,7.72,few clouds
271,Auki,SB,-8.7676,160.7034,83.53,83,84,7.38,broken clouds
272,Abu Dhabi,AE,24.4667,54.3667,68.97,72,0,1.14,clear sky
273,Ati,TD,13.2154,18.3353,70.77,14,0,10.4,clear sky
274,Lebu,CL,-37.6167,-73.65,56.41,87,0,15.95,clear sky
275,Bathsheba,BB,13.2167,-59.5167,79.41,73,20,16.11,few clouds
276,Camocim,BR,-2.9022,-40.8411,80.06,78,42,9.04,scattered clouds
277,Fortuna,US,40.5982,-124.1573,46.98,76,75,6.91,broken clouds
278,Yumen,CN,40.2833,97.2,25.65,56,100,4.0,overcast clouds
279,San Vicente,AR,-26.6167,-54.1333,63.88,50,1,3.02,clear sky
280,Caravelas,BR,-17.7125,-39.2481,72.28,96,100,3.36,light rain
281,Sakaiminato,JP,35.55,133.2333,57.99,52,8,8.23,clear sky
282,Oussouye,SN,12.485,-16.5469,73.69,70,5,8.37,clear sky
283,Bonavista,CA,48.6499,-53.1147,31.12,93,100,42.57,snow
284,Sartell,US,45.6216,-94.2069,32.4,81,1,1.99,clear sky
285,Pangkalanbuun,ID,-2.6833,111.6167,82.02,80,88,4.83,overcast clouds
286,Touros,BR,-5.1989,-35.4608,81.5,79,100,14.63,overcast clouds
287,Zhanaozen,KZ,43.3,52.8,45.45,80,100,15.95,overcast clouds
288,Broken Hill,AU,-31.95,141.4333,71.71,29,0,15.66,clear sky
289,Lorengau,PG,-2.0226,147.2712,86.09,72,100,16.93,overcast clouds
290,Kloulklubed,PW,7.0419,134.2556,86.5,75,100,7.4,overcast clouds
291,San Bartolome De Tirajana,ES,27.9248,-15.5733,56.32,59,75,25.32,broken clouds
292,Mabaruma,GY,8.2,-59.7833,72.93,99,32,2.82,scattered clouds
293,Bafoulabe,ML,13.8065,-10.8321,76.73,16,2,4.09,clear sky
294,Norman Wells,CA,65.282,-126.8329,-3.96,84,75,3.44,broken clouds
295,Davidson,US,36.1501,-86.7833,61.25,67,90,11.01,overcast clouds
296,Thessalon,CA,46.2501,-83.5666,34.09,99,100,20.02,light snow
297,Longyearbyen,SJ,78.2186,15.6401,24.64,80,90,2.3,overcast clouds
298,Provideniya,RU,64.3833,-173.3,3.31,85,75,11.18,broken clouds
299,Yar-Sale,RU,66.8333,70.8333,2.62,93,100,7.94,overcast clouds
300,Tautira,PF,-17.7333,-149.15,84.22,64,19,9.28,few clouds
301,Tabory,RU,58.5198,64.5495,20.98,76,100,8.55,overcast clouds
302,Port Elizabeth,ZA,-33.918,25.5701,68.29,100,75,3.44,broken clouds
303,Naze,JP,28.3667,129.4833,66.4,46,30,1.28,scattered clouds
304,Saint-Paul,RE,-21.0096,55.2707,75.31,76,91,4.0,overcast clouds
305,Tres Arroyos,AR,-38.3739,-60.2798,63.59,86,100,4.47,moderate rain
306,Chotila,IN,22.4167,71.1833,64.13,45,5,8.41,clear sky
307,La Ronge,CA,55.1001,-105.2842,5.13,98,99,3.85,overcast clouds
308,Amalapuram,IN,16.5833,82.0167,75.58,87,19,6.93,few clouds
309,Candido Mendes,BR,-1.4467,-45.7167,76.77,91,60,3.15,broken clouds
310,Sawtell,AU,-30.3833,153.1,86.18,69,0,13.8,clear sky
311,Eyl,SO,7.9803,49.8164,72.66,73,33,16.8,scattered clouds
312,Bangangte,CM,5.1409,10.5198,61.77,55,93,3.33,overcast clouds
